sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;comercio;comidas_rapidas;manrique_oriental;2;7.0;2018-05-30;7800000.0;microempresarial
femenino;industria;fabrica_de_;manrique_central_no__2;2;3.0;2018-01-29;7800000.0;microempresarial
femenino;servicio;cafe_e_internet;san_javier_no_1;1;13.0;2018-10-31;3000000.0;microempresarial
masculino;comercio;comidas_rapidas;enciso;2;8.0;2019-06-12;8000000.0;microempresarial
femenino;comercio;tienda;campo_valdes_no__1;3;4.0;2016-02-25;300000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;villa_niza;2;2.0;2018-04-12;5000000.0;microempresarial
masculino;comercio;almacen_de_ropa_en_;barrio_caicedo;1;9.0;2018-08-14;5500000.0;microempresarial
femenino;industria;fabrica_de_;la_francia;2;2.0;2016-11-01;6890000.0;microempresarial
masculino;comercio;distribuidora_de_;el_pinal;2;8.0;2019-04-03;8281000.0;microempresarial
femenino;industria;fabrica_de_;buenos_aires;3;9.0;2019-03-11;8000000.0;microempresarial
femenino;industria;fabrica_de_;manrique_central_no__1;2;4.0;2018-04-24;5000000.0;microempresarial
masculino;comercio;restaurante;la_colina;3;15.0;2017-06-20;4000000.0;microempresarial
femenino;industria;fabrica_de_;santander;3;6.0;2017-02-08;3500000.0;microempresarial
masculino;industria;fabrica_de_;campo_valdes_no__1;2;4.0;2017-12-06;7300000.0;microempresarial
femenino;industria;variedades;aranjuez;3;4.0;2018-10-11;3000000.0;microempresarial
femenino;servicio;mantenimiento_en_;buenos_aires;1;9.0;2017-11-16;7000000.0;microempresarial
masculino;comercio;variedades;robledo;2;7.0;2018-01-26;5000000.0;microempresarial
masculino;comercio;comidas_rapidas;aranjuez;2;4.0;2018-05-10;1500000.0;microempresarial
